Date,Name,Dosage type,Package type,Quantity,Price
Thu Jan 27 2022 17:29:16 GMT+0200 (Central Africa Time),Tuna,citizenship,guidance,135,129.0
Wed Mar 30 2022 04:23:12 GMT+0200 (Central Africa Time),Cheese,gene,consonant,104,147.0
Sat Apr 30 2022 04:12:08 GMT+0200 (Central Africa Time),Bike,discharge,grab-bag,117,176.0
Wed Feb 02 2022 13:18:58 GMT+0200 (Central Africa Time),Fish,remnant,journey,180,194.0
Fri Jan 21 2022 16:43:50 GMT+0200 (Central Africa Time),Hat,elver,election,198,136.0
Sun Mar 20 2022 17:36:22 GMT+0200 (Central Africa Time),Chicken,parliament,rod,188,159.0
Wed Mar 02 2022 06:44:57 GMT+0200 (Central Africa Time),Shoes,parliament,gamma-ray,142,132.0
Mon Jan 03 2022 23:24:13 GMT+0200 (Central Africa Time),Bacon,inscription,vibrissae,182,186.0
Sat Apr 23 2022 17:31:28 GMT+0200 (Central Africa Time),Salad,hockey,advocacy,116,145.0
Wed Feb 09 2022 02:42:07 GMT+0200 (Central Africa Time),Ball,optimization,congressperson,199,169.0
Sun Feb 06 2022 13:30:09 GMT+0200 (Central Africa Time),Hat,shutdown,connotation,139,103.0
Fri Mar 11 2022 00:16:31 GMT+0200 (Central Africa Time),Fish,jasmine,shawl,183,110.0
Mon Feb 07 2022 19:52:41 GMT+0200 (Central Africa Time),Tuna,rations,school,134,195.0
Fri Mar 18 2022 15:54:57 GMT+0200 (Central Africa Time),Towels,panty,preserves,141,188.0
Mon May 02 2022 12:51:21 GMT+0200 (Central Africa Time),Pants,weasel,vagrant,171,176.0
Sun Apr 24 2022 19:21:13 GMT+0200 (Central Africa Time),Cheese,suit,faithful,192,183.0
Fri Feb 25 2022 04:05:23 GMT+0200 (Central Africa Time),Shoes,jar,implementation,134,144.0
Fri Apr 15 2022 21:05:34 GMT+0200 (Central Africa Time),Bike,ambiguity,apple,114,100.0
Thu Mar 10 2022 22:58:54 GMT+0200 (Central Africa Time),Shoes,existence,monitoring,133,142.0
Sun Jan 30 2022 08:16:08 GMT+0200 (Central Africa Time),Pants,gig,therapy,179,167.0
Sat Mar 12 2022 14:36:44 GMT+0200 (Central Africa Time),Pants,strawman,ink,151,104.0
Thu Mar 24 2022 16:28:22 GMT+0200 (Central Africa Time),Bike,mango,drainage,200,119.0
Wed Feb 16 2022 15:02:13 GMT+0200 (Central Africa Time),Shirt,sleuth,dairy,140,184.0
Wed Jan 05 2022 02:16:51 GMT+0200 (Central Africa Time),Chips,camper,bloodflow,181,133.0
Sun Apr 03 2022 03:27:25 GMT+0200 (Central Africa Time),Cheese,birth,dare,118,158.0
Tue Mar 08 2022 09:41:05 GMT+0200 (Central Africa Time),Cheese,batting,family,149,193.0
Tue Apr 19 2022 02:39:25 GMT+0200 (Central Africa Time),Shirt,overnighter,hurry,152,100.0
Wed Jan 05 2022 11:20:21 GMT+0200 (Central Africa Time),Computer,infiltration,standardization,150,127.0
Thu Apr 28 2022 12:25:43 GMT+0200 (Central Africa Time),Car,ikebana,passive,163,162.0
Fri Mar 25 2022 17:06:13 GMT+0200 (Central Africa Time),Keyboard,merit,hide,177,117.0
Thu Feb 17 2022 07:31:16 GMT+0200 (Central Africa Time),Pizza,fit,triad,148,105.0
Mon Jan 31 2022 12:46:04 GMT+0200 (Central Africa Time),Table,base,fish,182,197.0
Mon Feb 28 2022 14:23:30 GMT+0200 (Central Africa Time),Hat,meadow,half-brother,177,112.0
Tue Feb 15 2022 11:07:37 GMT+0200 (Central Africa Time),Tuna,ford,glory,107,200.0
Sun Mar 13 2022 23:18:08 GMT+0200 (Central Africa Time),Gloves,beanie,science,173,165.0
Fri Jan 21 2022 08:22:39 GMT+0200 (Central Africa Time),Car,hacksaw,trick,185,175.0
Wed Mar 30 2022 23:15:20 GMT+0200 (Central Africa Time),Shoes,rice,crow,182,136.0
Thu Jan 06 2022 10:54:49 GMT+0200 (Central Africa Time),Table,cleaner,dolor,166,139.0
Thu May 12 2022 19:40:02 GMT+0200 (Central Africa Time),Gloves,spike,pusher,181,157.0
Sat Feb 19 2022 22:43:48 GMT+0200 (Central Africa Time),Chips,sonata,testimony,165,147.0
Wed May 18 2022 07:48:41 GMT+0200 (Central Africa Time),Car,footstep,reindeer,196,172.0
Mon Feb 28 2022 16:03:52 GMT+0200 (Central Africa Time),Mouse,editor,fertilizer,190,150.0
Sun Jan 23 2022 05:16:10 GMT+0200 (Central Africa Time),Bike,widget,text,138,110.0
Tue Feb 15 2022 17:06:27 GMT+0200 (Central Africa Time),Computer,co-producer,moron,101,109.0
Thu Jan 27 2022 22:29:57 GMT+0200 (Central Africa Time),Ball,bend,encyclopedia,130,183.0
Sun May 08 2022 09:07:42 GMT+0200 (Central Africa Time),Gloves,almighty,technology,162,181.0
Thu Feb 03 2022 06:03:16 GMT+0200 (Central Africa Time),Keyboard,sensibility,thumb,135,188.0
Wed Feb 09 2022 03:26:43 GMT+0200 (Central Africa Time),Table,boxspring,bride,167,181.0
Tue May 17 2022 19:26:30 GMT+0200 (Central Africa Time),Table,criminal,witch,196,118.0
Sun May 08 2022 14:33:04 GMT+0200 (Central Africa Time),Sausages,cannon,win,103,108.0
Fri Feb 11 2022 06:12:10 GMT+0200 (Central Africa Time),Hat,pneumonia,chaise,146,167.0
Mon May 09 2022 20:35:36 GMT+0200 (Central Africa Time),Sausages,meridian,eurocentrism,151,148.0
Mon Feb 07 2022 05:07:50 GMT+0200 (Central Africa Time),Salad,whirlwind,controversy,181,126.0
Sat Jan 22 2022 15:54:44 GMT+0200 (Central Africa Time),Pants,syndrome,freezer,161,161.0
Mon Feb 21 2022 02:45:05 GMT+0200 (Central Africa Time),Table,pair,pocket-watch,189,171.0
Tue Jan 25 2022 00:02:04 GMT+0200 (Central Africa Time),Towels,sleep,intentionality,104,171.0
Wed May 18 2022 14:21:11 GMT+0200 (Central Africa Time),Bacon,rule,freezing,168,199.0
Thu May 12 2022 09:27:39 GMT+0200 (Central Africa Time),Soap,goddess,doubter,101,159.0
Mon Feb 28 2022 23:59:17 GMT+0200 (Central Africa Time),Chips,lounge,halt,117,125.0
Fri Mar 04 2022 15:00:33 GMT+0200 (Central Africa Time),Chips,pickax,handover,169,124.0
Sun Mar 13 2022 13:13:31 GMT+0200 (Central Africa Time),Mouse,hubris,breakfast,186,193.0
Fri Mar 18 2022 10:37:46 GMT+0200 (Central Africa Time),Chair,trafficker,down,156,156.0
Mon Jan 03 2022 19:55:56 GMT+0200 (Central Africa Time),Salad,dilapidation,porcupine,135,127.0
Sun Jan 09 2022 22:12:09 GMT+0200 (Central Africa Time),Gloves,incarnation,volume,139,183.0
Sun Mar 27 2022 21:00:47 GMT+0200 (Central Africa Time),Tuna,lobotomy,dash,189,158.0
Sun May 08 2022 03:12:47 GMT+0200 (Central Africa Time),Ball,abacus,vegetation,114,172.0
Sat Feb 05 2022 04:26:23 GMT+0200 (Central Africa Time),Car,nicety,interview,124,124.0
Sat Jan 22 2022 06:33:40 GMT+0200 (Central Africa Time),Shoes,gadget,focus,136,139.0
Thu Apr 07 2022 13:08:42 GMT+0200 (Central Africa Time),Bike,needle,alphabet,186,128.0
Thu Mar 24 2022 11:14:49 GMT+0200 (Central Africa Time),Tuna,watercress,dare,146,110.0
Sun Jan 02 2022 20:21:13 GMT+0200 (Central Africa Time),Car,inhibitor,anywhere,105,174.0
Fri Apr 29 2022 11:25:12 GMT+0200 (Central Africa Time),Pizza,vintner,alcove,120,170.0
Tue Mar 22 2022 05:23:10 GMT+0200 (Central Africa Time),Mouse,label,report,157,130.0
Wed Mar 09 2022 18:54:56 GMT+0200 (Central Africa Time),Gloves,headlight,plane,142,102.0
Tue Mar 08 2022 20:52:57 GMT+0200 (Central Africa Time),Shoes,tadpole,anagram,120,186.0
Wed Jan 19 2022 15:27:36 GMT+0200 (Central Africa Time),Bacon,illness,outlay,170,101.0
Tue Jan 18 2022 23:13:03 GMT+0200 (Central Africa Time),Bike,intensity,legend,194,147.0
Tue May 17 2022 00:12:36 GMT+0200 (Central Africa Time),Car,tabernacle,wiring,198,109.0
Thu Mar 31 2022 23:35:57 GMT+0200 (Central Africa Time),Keyboard,hen,lightning,177,152.0
Sat Feb 12 2022 10:43:32 GMT+0200 (Central Africa Time),Fish,proponent,peak,160,143.0
Fri Jan 14 2022 14:46:49 GMT+0200 (Central Africa Time),Hat,signup,silo,143,183.0
Mon Feb 14 2022 19:23:29 GMT+0200 (Central Africa Time),Pizza,hiccups,smog,100,152.0
Sat Feb 26 2022 00:32:18 GMT+0200 (Central Africa Time),Towels,relationship,petticoat,182,120.0
Thu Jan 27 2022 16:37:32 GMT+0200 (Central Africa Time),Car,blanket,pavement,151,189.0
Sun Mar 13 2022 09:24:59 GMT+0200 (Central Africa Time),Keyboard,aluminum,neologism,199,147.0
Tue Apr 19 2022 09:52:14 GMT+0200 (Central Africa Time),Fish,bottle,transit,135,175.0
Thu Mar 24 2022 03:29:55 GMT+0200 (Central Africa Time),Towels,limestone,idea,111,166.0
Mon Feb 21 2022 03:05:39 GMT+0200 (Central Africa Time),Salad,scout,diam,180,192.0
Tue Apr 12 2022 12:39:54 GMT+0200 (Central Africa Time),Soap,iron,extremist,177,101.0
Sat Feb 19 2022 15:50:54 GMT+0200 (Central Africa Time),Salad,grouse,rape,151,141.0
Thu Jan 06 2022 08:55:41 GMT+0200 (Central Africa Time),Pizza,cytokine,clove,145,161.0
Mon Apr 11 2022 22:06:08 GMT+0200 (Central Africa Time),Soap,attention,sprinkles,161,175.0
Mon Jan 31 2022 16:54:08 GMT+0200 (Central Africa Time),Table,cassava,dare,139,197.0
Sun Jan 16 2022 06:42:55 GMT+0200 (Central Africa Time),Salad,vampire,skating,106,124.0
Thu Mar 03 2022 08:21:16 GMT+0200 (Central Africa Time),Fish,stitcher,turf,103,175.0
Tue Feb 22 2022 02:35:04 GMT+0200 (Central Africa Time),Table,notepad,innervation,175,121.0
Fri Mar 04 2022 06:38:50 GMT+0200 (Central Africa Time),Pizza,mandolin,feast,174,166.0
Sat Feb 05 2022 15:02:16 GMT+0200 (Central Africa Time),Gloves,lard,retrospectivity,185,153.0
Mon Jan 24 2022 21:08:02 GMT+0200 (Central Africa Time),Chair,emergence,procedure,109,185.0
Sat May 14 2022 23:28:39 GMT+0200 (Central Africa Time),Soap,gland,spatula,127,184.0
Sat May 07 2022 06:36:59 GMT+0200 (Central Africa Time),Cheese,tourist,tide,147,165.0
Sat Feb 19 2022 15:13:20 GMT+0200 (Central Africa Time),Cheese,tinkle,alcohol,111,111.0
Tue Apr 05 2022 11:26:23 GMT+0200 (Central Africa Time),Shoes,finding,breadcrumb,104,122.0
Sun Mar 13 2022 15:46:18 GMT+0200 (Central Africa Time),Bike,cucumber,cutting,128,181.0
Thu Mar 10 2022 13:31:59 GMT+0200 (Central Africa Time),Salad,fixture,transplantation,198,169.0
Wed Feb 09 2022 06:47:24 GMT+0200 (Central Africa Time),Tuna,analytics,weapon,131,138.0
Sun Apr 17 2022 11:18:37 GMT+0200 (Central Africa Time),Chips,fob,family,169,166.0
Wed Jan 19 2022 15:19:43 GMT+0200 (Central Africa Time),Table,radio,jiffy,155,109.0
Sat Feb 19 2022 13:19:59 GMT+0200 (Central Africa Time),Pants,synergy,dragonfruit,200,100.0
Mon May 02 2022 04:15:58 GMT+0200 (Central Africa Time),Soap,series,bread,136,152.0
Tue Apr 12 2022 08:22:01 GMT+0200 (Central Africa Time),Fish,carnival,bathtub,153,153.0
Sat Apr 02 2022 15:38:18 GMT+0200 (Central Africa Time),Fish,memory,doll,142,147.0
Thu Apr 28 2022 01:52:34 GMT+0200 (Central Africa Time),Tuna,strait,overheard,147,166.0
Tue Apr 26 2022 21:02:02 GMT+0200 (Central Africa Time),Mouse,penicillin,rumor,132,117.0
Sun Jan 30 2022 18:38:44 GMT+0200 (Central Africa Time),Sausages,project,chap,155,193.0
Wed Mar 09 2022 17:55:15 GMT+0200 (Central Africa Time),Bacon,admin,dressing,142,136.0
Tue Mar 15 2022 18:09:17 GMT+0200 (Central Africa Time),Cheese,glove,custard,157,112.0
Thu Feb 17 2022 07:38:36 GMT+0200 (Central Africa Time),Hat,advance,conscience,186,158.0
Sat Apr 23 2022 01:23:28 GMT+0200 (Central Africa Time),Pants,bias,pasta,193,100.0
Wed May 18 2022 03:02:18 GMT+0200 (Central Africa Time),Towels,aquarium,flintlock,164,162.0
Thu Jan 13 2022 05:14:54 GMT+0200 (Central Africa Time),Chips,explosion,armor,110,200.0
Sun Jan 09 2022 09:55:32 GMT+0200 (Central Africa Time),Mouse,reflection,football,173,154.0
Mon Feb 21 2022 12:18:47 GMT+0200 (Central Africa Time),Ball,paramecium,poultry,200,133.0
Thu Feb 24 2022 09:02:25 GMT+0200 (Central Africa Time),Soap,displacement,badger,160,200.0
Sun Mar 13 2022 05:36:37 GMT+0200 (Central Africa Time),Fish,pursuit,vitality,161,165.0
Sun Mar 06 2022 11:37:41 GMT+0200 (Central Africa Time),Pants,walrus,discharge,193,140.0
Sun May 15 2022 03:22:54 GMT+0200 (Central Africa Time),Table,pumpkinseed,deposit,105,149.0
Fri Apr 15 2022 18:45:35 GMT+0200 (Central Africa Time),Towels,crush,shield,106,108.0
Tue Apr 12 2022 21:19:19 GMT+0200 (Central Africa Time),Bike,pharmacist,presentation,142,139.0
Sun Feb 20 2022 22:20:14 GMT+0200 (Central Africa Time),Chair,webinar,author,137,165.0
Wed May 18 2022 13:06:49 GMT+0200 (Central Africa Time),Chair,strand,hull,139,119.0
Wed May 11 2022 12:17:12 GMT+0200 (Central Africa Time),Mouse,begonia,bungalow,155,174.0
Wed Mar 16 2022 19:28:49 GMT+0200 (Central Africa Time),Chips,bandwidth,ballot,181,195.0
Tue Mar 08 2022 08:46:43 GMT+0200 (Central Africa Time),Salad,cirrhosis,church,123,195.0
Sun May 01 2022 03:04:55 GMT+0200 (Central Africa Time),Shoes,post,intervenor,119,168.0
Tue Apr 26 2022 09:37:45 GMT+0200 (Central Africa Time),Shirt,accuracy,hearthside,151,132.0
Sat Jan 15 2022 00:13:53 GMT+0200 (Central Africa Time),Bacon,injunction,fiesta,180,106.0
Fri Jan 07 2022 09:27:39 GMT+0200 (Central Africa Time),Mouse,trainer,bowl,176,179.0
Thu May 05 2022 14:16:40 GMT+0200 (Central Africa Time),Car,mallet,ruckus,111,142.0
Sun Apr 17 2022 19:54:24 GMT+0200 (Central Africa Time),Salad,factory,inside,196,108.0
Sun Apr 17 2022 13:21:03 GMT+0200 (Central Africa Time),Chicken,colonialism,request,150,123.0
Wed Feb 23 2022 02:47:13 GMT+0200 (Central Africa Time),Pizza,zither,popsicle,139,186.0
Sat Apr 30 2022 23:05:30 GMT+0200 (Central Africa Time),Pizza,fox,mouton,103,174.0
Tue May 10 2022 06:12:46 GMT+0200 (Central Africa Time),Bike,harvest,ruckus,184,149.0
Mon Mar 28 2022 04:59:02 GMT+0200 (Central Africa Time),Computer,meteorology,fig,131,141.0
Thu Mar 03 2022 02:44:58 GMT+0200 (Central Africa Time),Chair,arena,working,149,134.0
Wed Feb 16 2022 19:04:53 GMT+0200 (Central Africa Time),Salad,prevalence,jewel,120,109.0
Sun Apr 24 2022 00:57:01 GMT+0200 (Central Africa Time),Mouse,opponent,coconut,130,181.0
Sun May 08 2022 07:59:00 GMT+0200 (Central Africa Time),Fish,sheath,antelope,151,141.0
Wed Mar 16 2022 02:04:10 GMT+0200 (Central Africa Time),Bike,nasal,side,141,167.0
Wed Jan 19 2022 10:03:50 GMT+0200 (Central Africa Time),Towels,longitude,mousse,124,124.0
Mon Feb 28 2022 05:58:48 GMT+0200 (Central Africa Time),Keyboard,ancestor,fate,117,138.0
Mon Jan 10 2022 10:36:27 GMT+0200 (Central Africa Time),Gloves,wine,elf,191,136.0
Mon Feb 21 2022 09:53:04 GMT+0200 (Central Africa Time),Chair,terrace,centimeter,105,195.0
Sat Apr 02 2022 09:37:04 GMT+0200 (Central Africa Time),Pants,washtub,oyster,164,111.0
Wed May 04 2022 16:55:07 GMT+0200 (Central Africa Time),Tuna,output,criminal,113,124.0
Sun Apr 10 2022 00:28:34 GMT+0200 (Central Africa Time),Towels,galley,end,143,200.0
Sat Jan 08 2022 13:08:27 GMT+0200 (Central Africa Time),Table,cowbell,rosemary,105,130.0
Tue Feb 22 2022 08:37:52 GMT+0200 (Central Africa Time),Shoes,similarity,birdhouse,112,185.0
Fri Jan 21 2022 12:56:45 GMT+0200 (Central Africa Time),Pants,facet,argument,128,136.0
Sun Mar 20 2022 15:26:59 GMT+0200 (Central Africa Time),Cheese,hyena,monasticism,117,167.0
Thu Jan 13 2022 03:27:43 GMT+0200 (Central Africa Time),Car,peasant,chemistry,171,118.0
Mon Feb 28 2022 05:05:53 GMT+0200 (Central Africa Time),Hat,imprisonment,contour,124,161.0
Sun Jan 30 2022 20:52:33 GMT+0200 (Central Africa Time),Chips,woman,witch-hunt,154,195.0
Sun Mar 20 2022 00:08:23 GMT+0200 (Central Africa Time),Chicken,repair,recovery,162,146.0
Mon Apr 11 2022 08:48:41 GMT+0200 (Central Africa Time),Fish,jellybeans,strawman,190,119.0
Thu Feb 10 2022 01:36:21 GMT+0200 (Central Africa Time),Sausages,reparation,flat,147,124.0
Mon Feb 07 2022 07:04:47 GMT+0200 (Central Africa Time),Towels,vintner,prevalence,200,108.0
Sat Jan 01 2022 10:07:07 GMT+0200 (Central Africa Time),Shirt,tributary,zone,189,160.0
Fri Apr 22 2022 01:18:18 GMT+0200 (Central Africa Time),Chicken,dip,initial,169,177.0
Sun Feb 27 2022 01:50:55 GMT+0200 (Central Africa Time),Bacon,rear,cookie,158,191.0
Fri Jan 21 2022 17:28:32 GMT+0200 (Central Africa Time),Hat,business,issue,190,117.0
Sun May 08 2022 19:03:30 GMT+0200 (Central Africa Time),Chips,legislation,pass,196,104.0
Fri Jan 28 2022 06:43:30 GMT+0200 (Central Africa Time),Tuna,stranger,id,149,117.0
Fri Jan 14 2022 16:20:46 GMT+0200 (Central Africa Time),Ball,west,sultan,146,166.0
Fri Jan 28 2022 06:16:35 GMT+0200 (Central Africa Time),Towels,fatigues,exposure,138,147.0
Tue Mar 01 2022 01:50:43 GMT+0200 (Central Africa Time),Bike,bangle,celsius,104,180.0
Thu May 19 2022 12:08:06 GMT+0200 (Central Africa Time),Cheese,atmosphere,workplace,157,109.0
Thu May 05 2022 18:15:22 GMT+0200 (Central Africa Time),Shirt,shoes,displacement,164,153.0
Sat Apr 23 2022 10:24:23 GMT+0200 (Central Africa Time),Towels,alliance,glutamate,116,104.0
Thu Mar 10 2022 01:08:15 GMT+0200 (Central Africa Time),Gloves,jewelry,captor,101,112.0
Tue Feb 08 2022 10:08:50 GMT+0200 (Central Africa Time),Towels,metronome,polliwog,103,135.0
Wed Jan 12 2022 19:21:57 GMT+0200 (Central Africa Time),Sausages,bait,toaster,128,141.0
Sun May 08 2022 08:02:35 GMT+0200 (Central Africa Time),Tuna,littleneck,directive,146,156.0
Tue Mar 22 2022 04:09:12 GMT+0200 (Central Africa Time),Keyboard,recess,spaghetti,165,105.0
Sun May 08 2022 06:52:07 GMT+0200 (Central Africa Time),Pants,catch,answer,101,111.0
Wed May 04 2022 22:33:25 GMT+0200 (Central Africa Time),Computer,personnel,preference,115,120.0
Mon Mar 21 2022 19:01:25 GMT+0200 (Central Africa Time),Mouse,split,towel,119,186.0
Sun Mar 06 2022 12:33:24 GMT+0200 (Central Africa Time),Table,examiner,paranoia,117,199.0
Wed Jan 19 2022 14:35:13 GMT+0200 (Central Africa Time),Bacon,filter,dish,168,113.0
Wed Mar 16 2022 09:23:15 GMT+0200 (Central Africa Time),Keyboard,peek,gaffe,109,132.0
Sat May 07 2022 05:55:49 GMT+0200 (Central Africa Time),Pants,plenty,mezzanine,200,129.0
Thu May 19 2022 08:08:07 GMT+0200 (Central Africa Time),Ball,chauvinist,term,200,123.0
Thu May 12 2022 20:34:41 GMT+0200 (Central Africa Time),Computer,refreshments,barrier,182,165.0
Fri Jan 21 2022 07:47:56 GMT+0200 (Central Africa Time),Car,purse,judgment,118,122.0
Fri Apr 29 2022 23:44:30 GMT+0200 (Central Africa Time),Bacon,whiskey,intellect,165,101.0
Fri May 06 2022 05:46:32 GMT+0200 (Central Africa Time),Bacon,aunt,stamina,163,142.0
